Phase,Formula,DeltaH,DeltaS,DeltaG,Volume,a,b,c
H2OV,H₂O (gas),-241.81,188.74,-228.57,24789.00,30.54,0.01029,0.000000
H2OL,H₂O (liquid),-285.84,69.92,-237.18,18.10,29.75,0.03448,0.000000
CO₂,CO₂,-393.51,213.64,-394.39,24465.10,44.22,0.00879,861904.000000
Calcite,CaCO₂,-1207.30,92.68,-1130.10,36.93,104.52,0.02192,2594080.000000
Graphite,C (Grafito),0,5740,0,5298,0.000000,0.000000,0.000000
Diamond,C (Diamante),1.86,2.37,0,3417,0.000000,0.000000,0.000000
Aragonite,CaCO₃,-1207.21,90.21,-1129.16,34.15,84.220000,0.042840,1397456.000000
alpha_Qz,SiO₂,-910.65,41.34,-856.24,22.69,46.940000,0.034310,1129680.000000
beta_Qz,SiO₂,-910.25,41.82,-856.24,0,60.290000,0.008120,0.000000
Cristobalite,SiO₂,-853.1,43.4,-853.1,25.74,58.490000,0.013970,1594104.000000
Coesite,SiO₂,-851.62,40.38,-851.62,20.64,46.020000,0.003510,1129680.000000
Periclase,MgO,-601.66,26.94,-569.38,11.25,42.590000,0.007280,619232.000000
Magnetite,Fe₃O₄,-11180.17,145.73,-1014.93,44.52,91.550000,0.201670,0.000000
Tremolite,Ca₂Mg₅Si₈O₂₂(OH)₂,-12319.7,548.9,-11590.71,272.92,188.220000,0.057290,4482200.000000
Chlorite,Mg₃Al(AlSi₃)O₁₀(OH)₂,-8857.38,465.26,-8207.77,207.11,696.640000,0.176140,15667448.000000
Pargasite,NaCa₂(Mg₄Al)(Al₂Si₆)O₂₂(OH)₂,-12623.4,669.44,-11950.58,273.5,861.070000,0.174310,21007864.000000
Phlogopite,KMg₃AlSi₃O₁₀(OH)₂,-6226.07,287.86,-5841.65,149.66,420.950000,0.012040,8995600.000000
Jadeite,NaSi₂O₆,-3011.94,133.47,-2842.8,60.44,201.670000,0.047700,4966408.000000
Diopside,MgCaSi₂O₆,-3202.34,143.09,-3029.22,66.09,221.670000,0.032800,6585616.000000
Enstatite,MgSiO3,-1546.77,67.86,-1459.92,31.28,102.720000,0.019830,2627552.000000
Forsterite,Mg2SiO4,-2175.68,95.19,-2056.7,43.79,149.830000,0.027360,3564768.000000
Clinozoisite,Ca₂Al₃Si₃O12,-68798.42,295.56,-6482.02,136.2,787.520000,0.105500,11357468.000000
Corundum,Al₂O₃,-1661.65,50.96,-1568.26,25.58,11.800000,0.035060,3506192.000000
Gibbsite,Al(OH)₃,-1293.13,70.08,-1155.49,31.96,36.190000,0.190790,0.000000
Albite,0,-3921.02,210.04,-3708.31,100.07,258.150000,0.058160,6280184.000000
Anorthite,0,-4215.6,205.43,-3991.86,100.79,264.890000,0.061900,7112800.000000
Spinel,0,-2288.01,80.63,-2163.15,39.71,153.860000,0.026840,4062246.000000
Grossular,0,-6624.93,254.68,-6263.31,125.3,435.210000,0.071170,11429851.000000
Kyanite,0,-2581.1,83.68,-2426.91,44.09,173.180000,0.028530,5389871.000000
